,#,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Total
726,658.0,72.0,95.0,67.0,103.0,71.0,122.0,6.0,False,530
728,660.0,85.0,56.0,77.0,50.0,77.0,78.0,6.0,False,423
729,661.0,45.0,50.0,43.0,40.0,38.0,62.0,6.0,False,278
730,662.0,62.0,73.0,55.0,56.0,52.0,84.0,6.0,False,382
731,663.0,78.0,81.0,71.0,74.0,69.0,126.0,6.0,False,499
734,666.0,80.0,52.0,50.0,90.0,50.0,89.0,6.0,False,411
735,667.0,62.0,50.0,58.0,73.0,54.0,72.0,6.0,False,369
736,668.0,86.0,68.0,72.0,109.0,66.0,106.0,6.0,False,507
743,675.0,95.0,124.0,78.0,69.0,71.0,58.0,6.0,False,495
748,679.0,45.0,80.0,100.0,35.0,37.0,28.0,6.0,False,325
749,680.0,59.0,110.0,150.0,45.0,49.0,35.0,6.0,False,448
750,681.0,60.0,150.0,50.0,150.0,50.0,60.0,6.0,False,520
751,681.0,60.0,50.0,150.0,50.0,150.0,60.0,6.0,False,520
756,686.0,53.0,54.0,53.0,37.0,46.0,45.0,6.0,False,288
757,687.0,86.0,92.0,88.0,68.0,75.0,73.0,6.0,False,482
758,688.0,42.0,52.0,67.0,39.0,56.0,50.0,6.0,False,306
759,689.0,72.0,105.0,115.0,54.0,86.0,68.0,6.0,False,500
760,690.0,50.0,60.0,60.0,60.0,60.0,30.0,6.0,False,320
761,691.0,65.0,75.0,90.0,97.0,123.0,44.0,6.0,False,494
764,694.0,44.0,38.0,33.0,61.0,43.0,70.0,6.0,False,289
765,695.0,62.0,55.0,52.0,109.0,94.0,109.0,6.0,False,481
766,696.0,58.0,89.0,77.0,45.0,45.0,48.0,6.0,False,362
767,697.0,82.0,121.0,119.0,69.0,59.0,71.0,6.0,False,521
768,698.0,77.0,59.0,50.0,67.0,63.0,46.0,6.0,False,362
769,699.0,123.0,77.0,72.0,99.0,92.0,58.0,6.0,False,521
771,701.0,78.0,92.0,75.0,74.0,63.0,118.0,6.0,False,500
772,702.0,67.0,58.0,57.0,81.0,67.0,101.0,6.0,False,431
773,703.0,50.0,50.0,150.0,50.0,150.0,50.0,6.0,False,500
777,707.0,57.0,80.0,91.0,80.0,87.0,75.0,6.0,False,470
778,708.0,43.0,70.0,48.0,50.0,60.0,38.0,6.0,False,309
779,709.0,85.0,110.0,76.0,65.0,82.0,56.0,6.0,False,474
780,710.0,49.0,66.0,70.0,44.0,55.0,51.0,6.0,False,335
781,710.0,44.0,66.0,70.0,44.0,55.0,56.0,6.0,False,335
782,710.0,54.0,66.0,70.0,44.0,55.0,46.0,6.0,False,335
783,710.0,59.0,66.0,70.0,44.0,55.0,41.0,6.0,False,335
784,711.0,65.0,90.0,122.0,58.0,75.0,84.0,6.0,False,494
785,711.0,55.0,85.0,122.0,58.0,75.0,99.0,6.0,False,494
786,711.0,75.0,95.0,122.0,58.0,75.0,69.0,6.0,False,494
787,711.0,85.0,100.0,122.0,58.0,75.0,54.0,6.0,False,494
790,714.0,40.0,30.0,35.0,45.0,40.0,55.0,6.0,False,245
791,715.0,85.0,70.0,80.0,97.0,80.0,123.0,6.0,False,535
793,717.0,126.0,131.0,95.0,131.0,98.0,99.0,6.0,True,680
794,718.0,108.0,100.0,121.0,81.0,95.0,95.0,6.0,True,600
795,719.0,50.0,100.0,150.0,100.0,150.0,50.0,6.0,True,600
796,719.0,50.0,160.0,110.0,160.0,110.0,110.0,6.0,True,700
797,720.0,80.0,110.0,60.0,150.0,130.0,70.0,6.0,True,600
798,720.0,80.0,160.0,60.0,170.0,130.0,80.0,6.0,True,680
799,721.0,80.0,110.0,120.0,130.0,90.0,70.0,6.0,True,600
