,carat,cut,depth,table,x,y,z,color_E,color_F,color_G,color_H,color_I,color_J,clarity_IF,clarity_SI1,clarity_SI2,clarity_VS1,clarity_VS2,clarity_VVS1,clarity_VVS2,price
6841,1.2,1,64.9,55.0,6.49,6.56,4.24,0,0,0,0,0,1,0,1,0,0,0,0,0,4123
6846,1.2,4,63.0,54.0,6.58,6.54,4.13,0,0,1,0,0,0,0,0,1,0,0,0,0,4124
6847,1.2,5,61.3,56.0,6.76,6.74,4.13,0,1,0,0,0,0,0,0,0,0,0,0,0,4124
6852,1.2,3,62.7,57.0,6.4,6.46,4.03,0,0,1,0,0,0,0,0,1,0,0,0,0,4125
6859,1.2,5,62.3,54.0,6.52,6.55,4.07,0,0,0,0,0,1,0,0,1,0,0,0,0,4126
6860,1.2,4,61.2,58.0,6.62,6.55,4.03,0,0,0,0,1,0,0,1,0,0,0,0,0,4126
6869,1.2,5,61.2,57.0,6.62,6.59,4.04,0,1,0,0,0,0,0,0,1,0,0,0,0,4128
6874,1.2,3,63.1,56.0,6.42,6.36,4.03,0,0,0,0,1,0,0,0,0,1,0,0,0,4129
6876,1.2,1,64.9,56.0,6.33,6.25,4.08,0,0,0,1,0,0,0,0,1,0,0,0,0,4129
6880,1.2,5,62.3,57.0,6.56,6.61,4.1,0,0,0,0,1,0,0,0,1,0,0,0,0,4130
6881,1.2,2,60.8,65.0,6.78,6.75,4.11,0,1,0,0,0,0,0,0,1,0,0,0,0,4131
6883,1.2,5,61.3,57.0,6.63,6.61,4.06,0,0,0,0,0,1,0,0,0,0,1,0,0,4131
6884,1.2,4,61.3,60.0,6.79,6.75,4.15,0,0,0,0,1,0,0,0,0,0,1,0,0,4131
6885,1.2,3,62.8,56.0,6.47,6.55,4.09,0,0,0,0,1,0,0,0,1,0,0,0,0,4132
6887,1.22,4,62.2,60.0,6.89,6.77,4.25,0,0,0,0,0,1,0,0,1,0,0,0,0,4132
6889,1.23,4,60.3,60.0,6.95,6.88,4.17,0,0,0,0,1,0,0,1,0,0,0,0,0,4133
6890,1.2,3,63.3,55.0,6.34,6.32,4.01,0,0,0,0,0,1,0,1,0,0,0,0,0,4133
6892,1.2,2,63.1,61.0,6.49,6.56,4.12,0,0,0,0,1,0,0,1,0,0,0,0,0,4133
6897,1.2,4,62.5,59.0,6.59,6.53,4.1,0,1,0,0,0,0,0,0,1,0,0,0,0,4134
6905,1.2,5,63.0,56.0,6.49,6.39,4.06,0,0,0,0,1,0,0,1,0,0,0,0,0,4135
6906,1.2,2,63.7,59.0,6.38,6.31,4.04,0,0,1,0,0,0,0,0,1,0,0,0,0,4135
6926,1.2,2,64.2,56.0,6.38,6.26,4.05,0,0,1,0,0,0,0,1,0,0,0,0,0,4138
6927,1.2,4,61.5,59.0,6.52,6.58,4.03,1,0,0,0,0,0,0,0,1,0,0,0,0,4139
6928,1.2,5,60.6,55.0,6.73,6.76,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,4139
6930,1.2,2,64.9,60.0,6.2,6.25,4.04,0,1,0,0,0,0,0,0,1,0,0,0,0,4140
6932,1.2,3,63.3,56.0,6.58,6.53,4.15,1,0,0,0,0,0,0,0,1,0,0,0,0,4140
6933,1.32,1,65.8,55.0,6.87,6.83,4.51,0,0,0,1,0,0,0,0,0,0,0,0,0,4140
6935,1.2,5,61.8,55.0,6.69,6.66,4.13,0,1,0,0,0,0,0,0,1,0,0,0,0,4140
6938,1.5,4,60.4,55.0,7.4,7.32,4.45,0,0,1,0,0,0,0,0,0,0,0,0,0,4140
6939,1.2,1,66.3,62.0,6.27,6.06,4.09,1,0,0,0,0,0,0,1,0,0,0,0,0,4140
6940,1.5,2,63.7,57.0,7.28,7.21,4.62,0,0,1,0,0,0,0,0,0,0,0,0,0,4140
6956,1.41,1,64.7,58.0,7.05,7.0,4.55,0,0,0,1,0,0,0,0,0,0,0,0,0,4145
6959,1.21,1,65.0,59.0,6.64,6.57,4.29,0,0,0,0,0,1,0,1,0,0,0,0,0,4147
6960,1.21,1,65.3,60.0,6.6,6.51,4.28,0,0,0,0,0,1,0,1,0,0,0,0,0,4147
6964,1.2,2,64.8,58.0,6.24,6.29,4.06,0,0,0,1,0,0,0,0,1,0,0,0,0,4149
6966,1.2,5,62.6,57.0,6.71,6.65,4.18,0,0,0,1,0,0,0,0,1,0,0,0,0,4150
6975,1.2,4,62.7,59.0,6.38,6.45,4.02,0,1,0,0,0,0,0,0,1,0,0,0,0,4151
6978,1.2,3,62.5,60.0,6.51,6.57,4.09,0,0,0,0,0,1,0,0,1,0,0,0,0,4152
6979,1.2,5,61.6,56.0,6.79,6.82,4.19,1,0,0,0,0,0,0,0,0,0,0,0,0,4153
6981,1.2,4,62.3,59.0,6.46,6.42,4.01,0,0,0,1,0,0,0,0,1,0,0,0,0,4153
6982,1.2,4,61.7,54.0,6.56,6.5,4.03,0,0,0,0,0,1,0,1,0,0,0,0,0,4153
6984,1.2,2,61.0,64.0,6.58,6.63,4.03,0,1,0,0,0,0,0,1,0,0,0,0,0,4154
6985,1.2,3,63.5,58.0,6.39,6.34,4.04,0,0,1,0,0,0,0,0,1,0,0,0,0,4154
6992,1.2,3,63.2,60.0,6.37,6.41,4.04,0,0,0,0,1,0,0,0,1,0,0,0,0,4155
6994,1.2,4,61.9,59.0,6.57,6.52,4.05,0,1,0,0,0,0,0,1,0,0,0,0,0,4155
6996,1.2,2,63.8,58.0,6.33,6.28,4.02,0,1,0,0,0,0,0,0,1,0,0,0,0,4155
7000,1.2,4,62.8,57.0,6.44,6.37,4.02,0,1,0,0,0,0,0,0,1,0,0,0,0,4155
7006,1.2,4,62.9,60.0,6.47,6.43,4.06,0,0,0,0,1,0,0,1,0,0,0,0,0,4155
7011,1.2,5,60.9,56.0,6.68,6.72,4.08,0,0,0,0,0,1,0,0,1,0,0,0,0,4157
7012,1.2,4,58.8,61.0,6.93,6.84,4.05,0,0,0,1,0,0,0,0,1,0,0,0,0,4157
7017,1.2,2,63.7,58.0,6.29,6.34,4.02,0,1,0,0,0,0,0,1,0,0,0,0,0,4158
7018,1.2,3,63.0,59.0,6.44,6.48,4.07,0,0,0,1,0,0,0,0,1,0,0,0,0,4158
7019,1.2,5,62.8,57.0,6.63,6.56,4.14,0,0,0,0,1,0,0,0,1,0,0,0,0,4158
7020,1.2,4,61.2,58.0,6.69,6.67,4.09,0,0,1,0,0,0,0,0,1,0,0,0,0,4158
7022,1.36,1,67.8,55.0,6.73,6.66,4.54,0,0,0,0,0,1,0,0,1,0,0,0,0,4158
7027,1.2,5,62.8,54.0,6.7,6.64,4.19,0,0,1,0,0,0,0,0,1,0,0,0,0,4158
7033,1.32,4,61.2,59.0,7.08,7.04,4.32,0,0,0,0,0,1,0,0,1,0,0,0,0,4160
7038,1.2,3,63.0,58.0,6.38,6.44,4.04,0,1,0,0,0,0,0,0,1,0,0,0,0,4162
7042,1.2,3,61.1,62.0,6.55,6.61,4.02,0,0,1,0,0,0,0,0,1,0,0,0,0,4162
7045,1.2,2,63.8,53.0,6.37,6.46,4.09,0,1,0,0,0,0,0,0,1,0,0,0,0,4162
7080,1.2,5,60.9,57.0,6.55,6.62,4.01,0,0,0,0,1,0,0,0,1,0,0,0,0,4163
7082,1.2,4,61.6,59.0,6.55,6.57,4.04,1,0,0,0,0,0,0,0,1,0,0,0,0,4164
7094,1.2,2,63.7,59.0,6.28,6.38,4.03,0,1,0,0,0,0,0,0,1,0,0,0,0,4166
7096,1.2,1,66.8,63.0,6.19,6.08,4.1,0,0,0,1,0,0,0,0,0,0,1,0,0,4166
7100,1.2,4,59.9,59.0,6.86,6.82,4.1,0,1,0,0,0,0,0,0,1,0,0,0,0,4167
7102,1.2,5,61.3,56.0,6.59,6.55,4.03,0,0,0,0,1,0,0,0,1,0,0,0,0,4167
7104,1.2,3,63.3,59.0,6.48,6.44,4.09,0,1,0,0,0,0,0,0,1,0,0,0,0,4167
7105,1.51,1,65.6,54.0,7.28,7.1,4.72,0,0,1,0,0,0,0,0,0,0,0,0,0,4167
7106,1.2,2,63.3,58.0,6.3,6.36,4.01,1,0,0,0,0,0,0,0,1,0,0,0,0,4168
7109,1.2,3,62.6,55.0,6.65,6.71,4.18,0,0,0,0,1,0,0,0,1,0,0,0,0,4168
7110,1.2,4,58.6,61.0,6.93,6.89,4.05,0,0,0,0,0,0,0,0,1,0,0,0,0,4168
7111,1.2,3,60.0,61.0,6.66,6.71,4.01,1,0,0,0,0,0,0,0,1,0,0,0,0,4170
7115,1.2,3,62.9,55.0,6.37,6.42,4.02,0,0,0,0,1,0,0,0,1,0,0,0,0,4171
7126,1.2,3,63.3,55.0,6.6,6.67,4.2,0,0,0,0,0,1,0,1,0,0,0,0,0,4173
7131,1.2,4,61.0,60.0,6.62,6.57,4.02,0,0,0,0,0,1,0,1,0,0,0,0,0,4173
7134,1.2,5,61.9,55.0,6.5,6.43,4.01,0,0,0,0,0,1,0,0,1,0,0,0,0,4174
7135,1.2,3,62.5,62.0,6.39,6.45,4.01,0,0,0,0,1,0,0,1,0,0,0,0,0,4175
7137,1.2,1,64.4,56.0,6.58,6.52,4.22,0,1,0,0,0,0,0,0,1,0,0,0,0,4176
7138,1.2,3,62.9,56.0,6.36,6.39,4.01,0,0,1,0,0,0,0,0,1,0,0,0,0,4176
7139,1.2,4,61.0,60.0,6.68,6.66,4.07,1,0,0,0,0,0,0,0,1,0,0,0,0,4177
7141,1.2,4,61.6,61.0,6.66,6.61,4.09,1,0,0,0,0,0,0,0,1,0,0,0,0,4177
7142,1.2,4,61.8,56.0,6.85,6.81,4.22,0,0,0,0,0,1,0,0,1,0,0,0,0,4177
7143,1.2,3,61.7,63.0,6.65,6.54,4.07,1,0,0,0,0,0,0,0,1,0,0,0,0,4177
7145,1.2,2,63.8,60.0,6.31,6.36,4.04,1,0,0,0,0,0,0,1,0,0,0,0,0,4179
7147,1.2,2,64.1,60.0,6.25,6.29,4.02,0,1,0,0,0,0,0,0,1,0,0,0,0,4179
7149,1.28,5,59.7,57.0,7.12,7.06,4.23,0,1,0,0,0,0,0,0,1,0,0,0,0,4179
7152,1.2,3,62.3,58.0,6.44,6.5,4.03,0,1,0,0,0,0,0,0,1,0,0,0,0,4181
7154,1.22,2,64.0,61.0,6.75,6.68,4.3,0,0,1,0,0,0,0,0,1,0,0,0,0,4181
7157,1.2,2,64.3,59.0,6.31,6.28,4.05,1,0,0,0,0,0,0,1,0,0,0,0,0,4181
7177,1.2,2,63.8,53.0,6.41,6.31,4.06,0,0,1,0,0,0,0,0,1,0,0,0,0,4185
7178,1.2,3,63.4,55.0,6.39,6.35,4.04,0,0,0,0,1,0,0,1,0,0,0,0,0,4185
7179,1.2,5,61.9,55.0,6.65,6.6,4.1,0,0,1,0,0,0,0,0,1,0,0,0,0,4185
7180,1.2,3,63.3,57.0,6.37,6.35,4.02,0,0,1,0,0,0,0,1,0,0,0,0,0,4185
7185,1.2,5,62.2,57.0,6.68,6.63,4.14,0,0,0,1,0,0,0,0,1,0,0,0,0,4186
7186,1.2,4,61.8,54.0,6.78,6.75,4.18,0,1,0,0,0,0,0,0,1,0,0,0,0,4186
7196,1.2,3,63.6,58.0,6.31,6.36,4.03,0,0,0,0,1,0,0,1,0,0,0,0,0,4189
7198,1.2,5,62.8,58.0,6.37,6.41,4.01,0,0,0,0,1,0,0,0,1,0,0,0,0,4189
7201,1.2,3,64.1,57.0,6.35,6.38,4.08,0,0,0,0,1,0,0,1,0,0,0,0,0,4190
7205,1.21,3,62.4,58.0,6.79,6.83,4.25,0,0,0,0,0,1,0,0,0,0,1,0,0,4191
7210,1.2,2,64.0,58.0,6.37,6.31,4.06,0,0,0,1,0,0,0,1,0,0,0,0,0,4191
7212,1.2,3,63.4,58.0,6.41,6.37,4.05,0,0,0,1,0,0,0,1,0,0,0,0,0,4191
7213,1.2,1,64.6,55.0,6.29,6.25,4.05,0,0,0,1,0,0,0,1,0,0,0,0,0,4191
7219,1.2,3,62.6,59.0,6.53,6.57,4.1,0,0,0,0,1,0,0,0,1,0,0,0,0,4192
7220,1.21,2,63.7,55.0,6.75,6.81,4.32,0,0,0,0,0,1,0,0,1,0,0,0,0,4192
7222,1.2,3,63.2,54.0,6.49,6.42,4.08,0,0,0,0,1,0,0,1,0,0,0,0,0,4193
7228,1.2,2,63.8,60.0,6.41,6.38,4.08,0,0,0,0,1,0,0,0,0,0,1,0,0,4194
7231,1.2,3,63.0,54.0,6.35,6.41,4.02,0,0,0,0,0,1,0,1,0,0,0,0,0,4194
7236,1.2,4,62.2,59.0,6.53,6.47,4.04,0,0,0,1,0,0,0,0,1,0,0,0,0,4194
7238,1.2,3,59.9,57.0,6.76,6.8,4.06,0,0,0,0,1,0,0,0,1,0,0,0,0,4195
7239,1.2,2,63.6,58.0,6.29,6.35,4.02,0,0,1,0,0,0,0,1,0,0,0,0,0,4195
7242,1.2,4,61.5,58.0,6.65,6.61,4.08,0,0,0,0,1,0,0,0,1,0,0,0,0,4196
7243,1.2,5,62.7,57.0,6.53,6.48,4.08,0,0,0,1,0,0,0,1,0,0,0,0,0,4196
7244,1.2,5,62.0,57.0,6.67,6.63,4.12,1,0,0,0,0,0,0,0,1,0,0,0,0,4196
7245,1.2,4,61.8,58.0,6.66,6.61,4.1,0,0,0,0,1,0,0,0,1,0,0,0,0,4196
7248,1.2,3,62.7,56.0,6.46,6.5,4.06,0,0,0,0,1,0,0,1,0,0,0,0,0,4197
7249,1.2,4,61.3,60.0,6.78,6.83,4.17,0,0,0,0,0,1,0,0,1,0,0,0,0,4197
7252,1.2,2,63.6,59.0,6.37,6.34,4.04,0,1,0,0,0,0,0,0,1,0,0,0,0,4197
7254,1.2,2,63.9,59.0,6.29,6.26,4.01,0,0,0,0,1,0,0,0,0,0,1,0,0,4197
7255,1.2,2,64.3,59.0,6.33,6.26,4.05,0,1,0,0,0,0,0,0,1,0,0,0,0,4197
7258,1.2,4,58.4,60.0,6.98,6.92,4.06,0,0,0,0,0,1,0,0,1,0,0,0,0,4198
7261,1.2,2,64.2,58.0,6.31,6.33,4.06,0,1,0,0,0,0,0,1,0,0,0,0,0,4199
7262,1.2,3,62.5,58.0,6.47,6.52,4.06,0,0,0,0,0,1,0,1,0,0,0,0,0,4199
7266,1.25,3,63.2,60.0,6.87,6.81,4.32,0,0,0,1,0,0,0,0,1,0,0,0,0,4199
7267,1.2,5,62.4,57.0,6.48,6.4,4.02,0,0,0,0,1,0,0,0,0,1,0,0,0,4199
7270,1.2,5,62.0,57.0,6.53,6.6,4.07,0,0,1,0,0,0,0,0,1,0,0,0,0,4200
7273,1.2,3,62.9,58.0,6.43,6.47,4.06,0,0,1,0,0,0,0,0,1,0,0,0,0,4200
7274,1.2,3,63.3,57.0,6.37,6.3,4.01,0,0,0,1,0,0,0,0,1,0,0,0,0,4200
7276,1.2,2,63.7,55.0,6.33,6.29,4.02,0,0,0,1,0,0,0,1,0,0,0,0,0,4200
7283,1.25,4,62.0,61.0,6.86,6.84,4.25,0,0,0,0,0,1,0,1,0,0,0,0,0,4200
7284,1.25,4,60.5,61.0,6.97,6.91,4.2,0,0,0,1,0,0,0,0,1,0,0,0,0,4200
7289,1.2,4,60.0,60.0,6.7,6.73,4.03,1,0,0,0,0,0,0,0,1,0,0,0,0,4201
7295,1.2,5,62.3,56.0,6.55,6.51,4.07,0,0,0,0,0,1,0,0,0,0,1,0,0,4201
7296,1.21,2,64.0,57.0,6.73,6.67,4.29,1,0,0,0,0,0,0,0,0,0,0,0,0,4201
7297,1.2,3,60.5,59.0,6.65,6.71,4.04,0,0,0,0,1,0,0,0,1,0,0,0,0,4202
7298,1.2,3,61.1,58.0,6.63,6.69,4.07,0,0,0,0,1,0,0,0,1,0,0,0,0,4202
7300,1.2,2,63.8,56.0,6.35,6.32,4.04,0,0,0,0,1,0,0,0,0,1,0,0,0,4202
7302,1.2,4,60.2,60.0,6.94,6.81,4.14,0,0,0,0,0,0,0,0,1,0,0,0,0,4203
7303,1.2,2,63.2,59.0,6.36,6.43,4.04,1,0,0,0,0,0,0,0,1,0,0,0,0,4204
7310,1.2,1,65.3,55.0,6.33,6.19,4.09,0,0,0,0,0,0,0,0,1,0,0,0,0,4205
7311,1.2,3,62.0,59.0,6.62,6.66,4.12,0,0,0,0,0,1,0,0,0,0,1,0,0,4206
7317,1.2,2,63.1,59.0,6.37,6.43,4.04,0,0,0,1,0,0,0,0,1,0,0,0,0,4207
7318,1.2,5,61.8,55.0,6.47,6.51,4.01,0,0,0,1,0,0,0,0,1,0,0,0,0,4207
7342,1.2,2,63.7,56.0,6.26,6.34,4.01,0,0,1,0,0,0,0,0,1,0,0,0,0,4211
7343,1.2,4,61.8,58.0,6.83,6.7,4.19,0,0,0,0,0,0,0,0,1,0,0,0,0,4211
7344,1.2,3,62.7,56.0,6.36,6.43,4.01,0,0,0,0,1,0,0,1,0,0,0,0,0,4212
7345,1.2,5,61.5,57.0,6.73,6.77,4.15,0,0,0,0,0,1,0,0,1,0,0,0,0,4212
7346,1.2,5,61.5,55.0,6.65,6.68,4.1,0,0,0,1,0,0,0,0,1,0,0,0,0,4212
7347,1.2,4,61.5,59.0,6.61,6.56,4.05,0,0,0,1,0,0,0,0,1,0,0,0,0,4212
7354,1.2,4,61.3,59.0,6.77,6.67,4.12,0,0,0,0,0,1,0,1,0,0,0,0,0,4214
7355,1.2,5,60.6,55.0,6.76,6.73,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,4215
7356,1.2,4,63.0,61.0,6.66,6.61,4.18,1,0,0,0,0,0,0,0,1,0,0,0,0,4215
7358,1.2,3,61.9,55.0,6.59,6.63,4.09,0,0,0,0,0,1,0,0,1,0,0,0,0,4217
7359,1.2,2,63.9,58.0,6.26,6.32,4.02,0,0,1,0,0,0,0,1,0,0,0,0,0,4218
7360,1.2,2,63.1,56.0,6.31,6.41,4.01,0,0,1,0,0,0,0,1,0,0,0,0,0,4218
7363,1.2,2,63.5,59.0,6.32,6.35,4.02,0,0,0,0,0,0,0,0,1,0,0,0,0,4218
7369,1.2,2,63.2,58.0,6.3,6.43,4.02,0,1,0,0,0,0,0,0,1,0,0,0,0,4221
7370,1.2,2,63.3,57.0,6.37,6.39,4.04,0,1,0,0,0,0,0,0,1,0,0,0,0,4221
7371,1.2,5,62.1,55.0,6.46,6.51,4.03,0,0,0,0,0,1,0,1,0,0,0,0,0,4221
7373,1.2,5,62.1,57.0,6.71,6.65,4.14,0,0,1,0,0,0,0,0,1,0,0,0,0,4222
7374,1.2,1,66.3,57.0,6.56,6.5,4.33,0,0,0,1,0,0,0,0,1,0,0,0,0,4222
7375,1.2,4,62.5,58.0,6.73,6.67,4.19,0,0,0,0,0,1,0,1,0,0,0,0,0,4222
7410,1.2,5,62.0,56.0,6.53,6.46,4.03,0,0,0,1,0,0,0,1,0,0,0,0,0,4223
7413,1.2,4,62.8,57.0,6.54,6.49,4.09,0,0,0,0,0,1,0,0,0,0,1,0,0,4224
7415,1.2,5,62.0,59.0,6.58,6.61,4.09,0,0,0,0,0,1,0,0,1,0,0,0,0,4226
7417,1.2,4,62.7,59.0,6.45,6.38,4.02,0,1,0,0,0,0,0,0,1,0,0,0,0,4227
7418,1.2,1,61.8,50.0,6.59,6.51,4.05,0,1,0,0,0,0,0,1,0,0,0,0,0,4227
7419,1.2,5,62.0,57.0,6.67,6.64,4.13,0,1,0,0,0,0,0,0,1,0,0,0,0,4227
7421,1.2,4,62.7,58.0,6.44,6.41,4.03,0,0,0,0,1,0,0,1,0,0,0,0,0,4227
7438,1.2,5,61.6,56.0,6.82,6.79,4.19,1,0,0,0,0,0,0,0,0,0,0,0,0,4229
7439,1.2,2,61.0,64.0,6.63,6.58,4.03,0,1,0,0,0,0,0,1,0,0,0,0,0,4230
7448,1.2,3,63.1,56.0,6.77,6.71,4.25,0,0,0,0,0,1,0,0,0,0,1,0,0,4232
7450,1.2,4,62.8,58.0,6.68,6.64,4.18,0,0,1,0,0,0,0,0,1,0,0,0,0,4233
7451,1.2,2,63.7,60.0,6.69,6.6,4.24,0,0,1,0,0,0,0,0,1,0,0,0,0,4233
7456,1.2,2,64.0,56.0,6.25,6.29,4.01,0,0,0,0,0,0,0,0,1,0,0,0,0,4234
7460,1.2,4,63.0,59.0,6.48,6.44,4.07,0,0,0,1,0,0,0,0,1,0,0,0,0,4234
7468,1.2,4,59.0,60.0,6.99,6.95,4.11,0,0,0,0,1,0,0,0,1,0,0,0,0,4234
7472,1.2,4,61.1,59.0,6.81,6.78,4.15,0,0,0,0,0,1,0,0,1,0,0,0,0,4234
7473,1.2,5,63.0,57.0,6.74,6.64,4.24,0,0,0,0,0,1,0,1,0,0,0,0,0,4234
7475,1.2,3,60.4,61.0,6.69,6.73,4.05,0,0,0,0,1,0,0,1,0,0,0,0,0,4235
7476,1.2,5,62.0,56.0,6.53,6.57,4.06,0,0,0,0,0,1,0,1,0,0,0,0,0,4235
7482,1.2,4,61.1,62.0,6.61,6.55,4.02,0,0,1,0,0,0,0,0,1,0,0,0,0,4238
7485,1.2,4,63.0,58.0,6.44,6.38,4.04,0,1,0,0,0,0,0,0,1,0,0,0,0,4238
7486,1.2,2,63.8,53.0,6.46,6.37,4.09,0,1,0,0,0,0,0,0,1,0,0,0,0,4238
7488,1.2,5,62.5,55.0,6.55,6.51,4.08,0,0,1,0,0,0,0,0,1,0,0,0,0,4238
7493,1.2,5,62.6,54.0,6.4,6.45,4.02,0,0,0,0,1,0,0,0,0,0,1,0,0,4239
7501,1.2,4,61.6,59.0,6.57,6.55,4.04,1,0,0,0,0,0,0,0,1,0,0,0,0,4240
7503,1.2,4,61.3,58.0,6.55,6.6,4.03,0,0,1,0,0,0,0,0,1,0,0,0,0,4241
7505,1.2,3,62.5,60.0,6.45,6.5,4.05,0,0,1,0,0,0,0,0,1,0,0,0,0,4241
7506,1.2,2,63.2,57.0,6.5,6.54,4.12,0,0,1,0,0,0,0,0,1,0,0,0,0,4241
7508,1.2,2,63.2,54.0,6.49,6.52,4.11,0,0,1,0,0,0,0,0,1,0,0,0,0,4241
7509,1.2,3,61.6,60.0,6.49,6.56,4.02,0,0,1,0,0,0,0,0,1,0,0,0,0,4241
7530,1.2,2,63.7,59.0,6.38,6.28,4.03,0,1,0,0,0,0,0,0,1,0,0,0,0,4242
7537,1.2,3,62.8,55.0,6.41,6.48,4.05,0,1,0,0,0,0,0,0,1,0,0,0,0,4244
7539,1.2,3,63.5,57.0,6.35,6.37,4.04,0,0,0,0,1,0,0,0,1,0,0,0,0,4244
7540,1.2,5,62.8,57.0,6.36,6.41,4.01,0,0,0,0,1,0,0,0,1,0,0,0,0,4244
7541,1.2,2,63.8,56.0,6.53,6.48,4.15,0,1,0,0,0,0,0,0,1,0,0,0,0,4244
7542,1.2,3,63.3,58.0,6.36,6.3,4.01,1,0,0,0,0,0,0,0,1,0,0,0,0,4244
7553,1.21,5,62.7,56.0,6.81,6.78,4.26,0,0,0,1,0,0,0,1,0,0,0,0,0,4249
7554,1.21,5,62.9,57.0,6.78,6.74,4.25,0,0,0,1,0,0,0,1,0,0,0,0,0,4249
7556,1.2,4,62.5,58.0,6.65,6.72,4.18,1,0,0,0,0,0,0,0,1,0,0,0,0,4250
7557,1.2,3,61.7,60.0,6.7,6.78,4.16,1,0,0,0,0,0,0,0,1,0,0,0,0,4250
7558,1.2,2,63.8,62.0,6.3,6.37,4.04,1,0,0,0,0,0,0,0,1,0,0,0,0,4250
7559,1.2,4,62.4,58.0,6.63,6.58,4.12,0,0,0,1,0,0,0,0,1,0,0,0,0,4250
7560,1.2,5,61.9,56.0,6.65,6.63,4.11,0,0,0,1,0,0,0,0,1,0,0,0,0,4250
7562,1.2,4,62.6,61.0,6.73,6.68,4.2,0,0,1,0,0,0,0,0,1,0,0,0,0,4250
7565,1.2,3,63.4,54.0,6.37,6.43,4.06,0,0,0,1,0,0,0,0,1,0,0,0,0,4252
7568,1.2,4,62.5,62.0,6.45,6.39,4.01,0,0,0,0,1,0,0,1,0,0,0,0,0,4252
7572,1.2,5,62.3,56.0,6.47,6.5,4.04,0,0,0,0,0,1,0,1,0,0,0,0,0,4253
7577,1.2,3,62.9,56.0,6.36,6.42,4.02,0,1,0,0,0,0,0,0,1,0,0,0,0,4255
7579,1.2,3,62.8,56.0,6.47,6.52,4.08,0,0,0,0,1,0,0,1,0,0,0,0,0,4255
7582,1.26,2,63.9,58.0,6.78,6.74,4.32,0,0,0,0,0,1,0,1,0,0,0,0,0,4255
7585,1.2,4,62.6,60.0,6.68,6.62,4.16,0,0,0,1,0,0,0,1,0,0,0,0,0,4256
7586,1.2,1,65.2,56.0,6.3,6.12,4.05,1,0,0,0,0,0,0,0,1,0,0,0,0,4256
7588,1.2,2,63.8,60.0,6.36,6.31,4.04,1,0,0,0,0,0,0,1,0,0,0,0,0,4256
7591,1.2,1,65.3,57.0,6.33,6.23,4.1,0,0,0,1,0,0,0,1,0,0,0,0,0,4256
7593,1.2,1,66.4,57.0,6.21,6.14,4.1,0,1,0,0,0,0,0,1,0,0,0,0,0,4256
7608,1.2,5,62.1,56.0,6.64,6.67,4.13,0,0,0,0,0,1,0,1,0,0,0,0,0,4259
7609,1.2,4,62.5,57.0,6.8,6.71,4.22,0,1,0,0,0,0,0,0,1,0,0,0,0,4259
7620,1.2,2,63.1,54.0,6.37,6.43,4.04,0,0,0,0,0,0,0,0,1,0,0,0,0,4260
7627,1.2,1,64.9,58.0,6.17,6.22,4.02,0,0,0,0,1,0,0,0,0,1,0,0,0,4263
7628,1.2,5,62.0,57.0,6.61,6.55,4.08,0,0,0,1,0,0,0,0,1,0,0,0,0,4264
7633,1.2,4,62.6,59.0,6.6,6.56,4.12,0,0,0,0,0,1,0,0,0,0,1,0,0,4265
7638,1.2,5,60.6,59.0,6.63,6.6,4.01,0,0,0,1,0,0,0,0,1,0,0,0,0,4267
7642,1.2,3,62.3,57.0,6.43,6.48,4.02,0,0,0,1,0,0,0,0,1,0,0,0,0,4268
7645,1.21,4,62.4,58.0,6.83,6.79,4.25,0,0,0,0,0,1,0,0,0,0,1,0,0,4268
7646,1.2,5,62.3,56.0,6.51,6.43,4.03,0,1,0,0,0,0,0,0,1,0,0,0,0,4268
7656,1.2,5,62.8,56.0,6.4,6.44,4.03,0,0,1,0,0,0,0,0,1,0,0,0,0,4269
7657,1.2,4,62.6,59.0,6.57,6.53,4.1,0,0,0,0,1,0,0,0,1,0,0,0,0,4269
7658,1.21,2,63.7,55.0,6.81,6.75,4.32,0,0,0,0,0,1,0,0,1,0,0,0,0,4269
7659,1.21,4,62.6,58.0,6.74,6.71,4.21,0,0,0,0,0,1,0,1,0,0,0,0,0,4269
7661,1.2,3,63.4,54.0,6.42,6.39,4.06,0,1,0,0,0,0,0,0,1,0,0,0,0,4270
7663,1.2,5,61.8,57.0,6.57,6.6,4.07,0,0,0,0,1,0,0,0,1,0,0,0,0,4270
7664,1.2,4,62.7,58.0,6.71,6.69,4.2,0,0,1,0,0,0,0,0,1,0,0,0,0,4270
7665,1.2,3,63.3,57.0,6.39,6.31,4.02,1,0,0,0,0,0,0,0,1,0,0,0,0,4270
7668,1.2,4,59.9,57.0,6.8,6.76,4.06,0,0,0,0,1,0,0,0,1,0,0,0,0,4271
7669,1.2,3,61.9,59.0,6.58,6.64,4.09,0,0,0,0,1,0,0,1,0,0,0,0,0,4273
7670,1.2,5,62.4,55.0,6.6,6.64,4.13,0,0,0,0,1,0,0,1,0,0,0,0,0,4273
7673,1.2,4,61.7,59.0,6.59,6.53,4.05,0,0,0,0,1,0,0,1,0,0,0,0,0,4273
7676,1.2,3,63.3,59.0,6.7,6.66,4.23,0,1,0,0,0,0,0,0,1,0,0,0,0,4274
